station,bufkit,valid,precip,stratum,cloud_base,cat,rap_date,rap_run,rap_fhr,rap_ok,sfc_tmpc,sfc_dwpc,freeze_ft,pwat_mm,cape,lclp_mb,lapse_3k,temp_beam_c,temp_base_c,dwpc_beam_c,rh_beam_pct,sat_deficit_c,cloud_phase,beam_vs_freeze,n_levels
LNS,klns,2026-02-16 02:53,0.01,light,2600.0,beam_in_cloud,2026/02/16,0,2,True,0.44,0.18,438,16.27,0.0,995.36,3.23,-8.78,-0.36,-9.39,95.3,0.6,mixed,above_freeze,50
LNS,klns,2026-03-05 12:23,0.03,light,400.0,beam_in_cloud,2026/03/05,12,0,True,5.84,4.94,9649,29.74,0.0,990.32,1.76,0.57,6.21,0.47,99.3,0.1,warm,bright_band,50
LNS,klns,2026-03-16 06:53,0.04,light,600.0,beam_in_cloud,2026/03/16,0,6,True,10.64,10.01,10293,31.14,0.0,983.66,3.1,1.65,10.59,0.26,90.5,1.4,warm,bright_band,50
LNS,klns,2026-02-23 09:44,0.01,light,3000.0,beam_in_cloud,2026/02/23,0,9,True,-1.56,-3.74,,9.08,0.0,954.05,5.26,-16.39,-6.57,-18.12,86.5,1.7,mixed,,50
LNS,klns,2026-02-07 08:06,0.01,light,3000.0,beam_in_cloud,2026/02/07,0,8,True,-4.66,-8.85,,4.76,0.0,923.01,6.63,-23.08,-12.28,-24.28,89.9,1.2,glaciated,,50
LNS,klns,2026-03-05 17:04,0.02,light,300.0,beam_in_cloud,2026/03/05,12,5,True,8.04,7.73,9870,28.31,0.0,1000.16,2.5,0.79,7.23,-0.95,88.1,1.7,warm,bright_band,50
LNS,klns,2026-02-20 09:53,0.09,moderate,700.0,beam_in_cloud,2026/02/20,0,9,True,2.14,1.43,8110,21.39,0.0,982.82,1.26,-2.09,0.96,-4.64,82.7,2.5,mixed,bright_band,50
LNS,klns,2026-03-11 23:44,0.11,moderate,6000.0,beam_in_cloud,2026/03/11,12,11,True,21.84,19.55,11791,41.75,1079.88,956.23,6.16,4.15,10.28,1.66,83.8,2.5,warm,below_freeze,50
LNS,klns,2026-03-16 19:51,0.1,moderate,,no_ceiling,2026/03/16,12,7,True,18.24,16.11,10574,30.19,167.51,950.19,5.63,2.06,,-6.06,54.9,8.1,warm,bright_band,50
LNS,klns,2026-03-12 12:53,0.07,moderate,,no_ceiling,2026/03/12,12,0,True,5.94,3.32,2118,23.76,26.44,953.72,2.5,-1.5,,-1.63,99.0,0.1,mixed,above_freeze,50
LNS,klns,2026-03-17 01:53,0.13,moderate,1300.0,beam_in_cloud,2026/03/17,0,1,True,15.24,13.92,9566,32.65,0.0,955.31,5.16,0.31,12.87,0.19,99.1,0.1,warm,bright_band,50
LNS,klns,2026-03-21 03:33,0.06,moderate,5500.0,beam_in_cloud,2026/03/21,0,3,True,11.64,11.12,6983,21.78,125.06,984.03,5.96,-5.48,3.71,-5.79,97.7,0.3,mixed,above_freeze,50
LNS,klns,2026-03-23 09:45,0.15,heavy,5000.0,beam_in_cloud,2026/03/23,0,9,True,9.64,8.09,9869,28.7,0.0,964.98,3.02,0.82,7.77,0.75,99.5,0.1,warm,bright_band,50
LNS,klns,2026-03-23 08:53,0.15,heavy,7500.0,beam_in_cloud,2026/03/23,0,8,True,10.04,8.14,10325,29.76,0.0,963.09,3.02,1.26,3.97,1.12,99.0,0.1,warm,bright_band,50
LNS,klns,2026-03-23 09:53,0.18,heavy,5000.0,beam_in_cloud,2026/03/23,0,9,True,9.64,8.09,9869,28.7,0.0,964.98,3.02,0.82,7.77,0.75,99.5,0.1,warm,bright_band,50
LNS,klns,2026-03-06 02:35,0.3,extreme,3000.0,beam_in_cloud,2026/03/06,0,2,True,6.14,5.89,9972,31.8,0.0,1000.46,1.79,0.9,11.67,0.0,93.7,,warm,bright_band,50
LNS,klns,2026-03-06 02:53,0.43,extreme,900.0,beam_in_cloud,2026/03/06,0,2,True,6.14,5.89,9972,31.8,0.0,1000.46,1.79,0.9,4.55,0.0,93.7,,warm,bright_band,50
LNS,klns,2026-03-06 02:44,0.38,extreme,900.0,beam_in_cloud,2026/03/06,0,2,True,6.14,5.89,9972,31.8,0.0,1000.46,1.79,0.9,4.55,0.0,93.7,,warm,bright_band,50
